Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Log_Area,Log_Major,Minor,Log_Minor
1,Aragonite,10.935,3.7313,4,303.85,2.57,3.9986,2.2968,0.035691,0.87,1.66,31.37,66.25,34.1,True,edge,2.39196865412873,1.3859442998556,2.73470714750163,1.00602435427314
2,Aragonite,3.4992,2.1108,2,312.04,3.38,2.0993,1.9783,79.895,0.8,2.1,133.72,148.87,87.65,True,edge,1.25253437094037,0.74160395582814,1.66684132806173,0.510930415112227
3,Aragonite,2.7702,1.8781,2,320.05,1.05,1.9303,2.1128,8.5237,0.72,1.85,74.75,165.76,69.77,True,edge,1.01891951975886,0.657675431251692,1.43511371289437,0.361244088507169
4,Aragonite,7.4358,3.0769,5,330.67,2.92,3.0052,1.9078,15.945,1.12,2.99,23.7,49.85,40.99,True,edge,2.00630617331675,1.10034412151287,2.47431119393052,0.905962051803878
5,Aragonite,6.2694,2.8253,4,341,3.67,2.7238,1.8589,115.51,1.05,2.38,178.28,157.63,51.48,True,edge,1.83568065628598,1.00202796415272,2.30171084514282,0.833652692133263
6,Aragonite,13.414,4.1326,3,351.86,2.17,5.4931,3.5335,5.5766,1,2.95,143.43,25,70.55,True,edge,2.59629893767755,1.70349275918294,2.44197265660556,0.892806178494604
7,Aragonite,2.6244,1.828,2,367.11,1.89,1.6192,1.5692,63.293,1.11,2.08,152.02,156.67,83.98,True,edge,0.964852298488585,0.481932200111009,1.62080039525692,0.482920098377576
8,Aragonite,3.645,2.1543,3,371.08,5.84,3.4317,5.0751,96.11,0.87,1.64,79.53,74.92,39.53,True,edge,1.29335636546062,1.2330557652176,1.06215578284815,0.060300600243021
9,Aragonite,13.414,4.1326,6,380.28,2.61,4.9531,2.873,4.5268,1.47,2.61,178.67,121.19,46.46,True,edge,2.59629893767755,1.60001364318626,2.70820294361107,0.996285294491287
10,Aragonite,2.0412,1.6121,3,391.79,0.79,1.589,1.943,173.95,0.74,1.92,63.18,151.61,171.11,True,edge,0.713537870207679,0.463104887554579,1.28458149779736,0.2504329826531
11,Aragonite,9.7686,3.5267,5,399.15,3.27,2.6708,1.1471,49.516,0.96,2.28,165.06,148.65,43.94,True,edge,2.27917315998339,0.982378053001577,3.65755578852778,1.29679510698181
12,Aragonite,2.3328,1.7234,4,406.13,1.88,1.5525,1.623,79.722,0.55,1.41,81.98,34.1,167.96,True,edge,0.847069262832202,0.439866534825497,1.50260869565217,0.407202728006705
13,Aragonite,1.7496,1.4925,3,409.25,1.67,1.1306,1.1477,70.195,0.84,1.41,69.08,97.11,173.11,True,edge,0.559387190380421,0.122748465259053,1.5474969042986,0.436638725121368
14,Aragonite,10.352,3.6305,4,414.08,3.65,3.8855,2.2908,40.619,1.18,2.29,57.21,111.83,17.54,True,edge,2.33717973775854,1.35725167566716,2.66426457341398,0.979928062091385
15,Aragonite,21.578,5.2416,5,418.74,7.78,6.1497,2.753,42.783,0.94,2.46,33.29,51.36,20.63,True,edge,3.07167427712915,1.81640330014081,3.50878904662016,1.25527097698833
16,Aragonite,23.474,5.467,5,430.49,8.14,5.2584,1.8503,56.687,2,4.17,61.69,28.57,28.45,True,edge,3.15589342567793,1.65982679796723,4.4640955423703,1.4960666277107
