"","Nr.","Phase","Area","d","l","Xcg","Ycg","Major","Aspect_ratio","Slope","GOS","MOS","Mean_E1","Mean_E2","Mean_E3","In_current_dataset","Border_grain","Log_Area","Log_Major","Minor","Log_Minor"
"1",1,"Aragonite",0.841,1.0348,0,633.2,22,1.1638,1.2649,90,0.38,1.69,15.07,36.91,88.02,"True","no",-0.173163619009189,0.151690513240432,0.722632754768861,-0.324854132249621
"2",2,"Aragonite",1.0092,1.1336,0,475.25,23.58,1.2976,1.3103,57.933,0.29,0.35,36.79,82.94,58.73,"True","no",0.00915793778476572,0.260516404379011,0.777743526510481,-0.251358466594246
"3",3,"Aragonite",1.0933,1.1798,1,555.85,28.46,1.2713,1.1611,103.78,0.52,0.68,7.2,42.31,44.21,"True","no",0.089200645458302,0.24003999897394,0.859985841264847,-0.150839353515638
"4",4,"Aragonite",1.9343,1.5693,1,559.7,30.91,1.9373,1.5239,100.39,0.91,1.77,1.53,54.38,98.11,"True","no",0.659745503925915,0.661295251110763,0.998451453053218,-0.00154974718484819
"5",5,"Aragonite",16.652,4.6045,3,716.15,33.1,4.0907,1.5786,10.345,0.72,2.07,146.15,136.77,126.07,"True","edge",2.81253032933273,1.40871610455462,4.07069694673283,1.40381422477811
"6",6,"Aragonite",0.9251,1.0853,0,565.36,31.45,1.1654,1.1531,71.565,0.12,0.13,15.16,26.9,85.26,"True","no",-0.0778534392048641,0.153064375726837,0.793804702248155,-0.230917814931701
"7",7,"Aragonite",0.841,1.0348,0,511.8,33,1.1638,1.2649,90,0.33,0.52,35.18,26.83,120.1,"True","no",-0.173163619009189,0.151690513240432,0.722632754768861,-0.324854132249621
"8",8,"Aragonite",3.1117,1.9905,1,688.16,33.86,2.4583,1.5253,9.7853,0.7,1.34,161.14,136.2,129.88,"True","no",1.13516920064099,0.899470054143811,1.26579343448725,0.235699146497178
"9",9,"Aragonite",12.026,3.9131,4,679.5,40.56,4.8549,1.5393,73.801,1.73,3.18,162.56,138.44,129.54,"True","no",2.48707097261738,1.57998850420881,2.47708500690025,0.907082468408565
"10",10,"Aragonite",1.9343,1.5693,1,669.52,36.43,1.8633,1.4098,157.84,0.67,1.15,164.18,142.18,131.65,"True","no",0.659745503925915,0.62234910925123,1.03810443836205,0.0373963946746852
"11",11,"Aragonite",12.699,4.0211,6,696.85,40.78,8.0162,3.9742,18.367,1.47,3.1,159.95,135.8,135.1,"True","no",2.5415232502069,2.08146449413106,1.58416706170006,0.460058756075836
"12",12,"Aragonite",10.26,3.6144,3,720.38,40.48,3.2999,1.6672,73.6,1.07,2.18,160.96,133.37,137.6,"True","edge",2.32825283974262,1.19389216498299,3.10918512682202,1.13436067475964
"13",13,"Aragonite",0.9251,1.0853,0,634.09,38.64,1.2919,1.4169,74.929,0.31,0.85,111.32,95.55,60.18,"True","no",-0.0778534392048641,0.256114002984119,0.716077095750445,-0.333967442188983
"14",14,"Aragonite",4.3732,2.3597,3,650.27,41.08,3.4617,2.1522,33.15,1,2.43,123.59,15.47,63.92,"True","no",1.47549500657819,1.24175979788659,1.26330993442528,0.233735208691598
