Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Log_Area,Log_Major,Minor,Log_Minor
1,Aragonite,26.1,5.7647,3,115.15,9.21,5.9696,2.1447,112.3,1.02,3.21,113.52,121.57,125.5,True,edge,3.26193531432865,1.78667992348476,4.3721522380059,1.47525539084389
2,Aragonite,6.66,2.912,2,128.92,2.54,2.7508,1.7847,42.747,0.87,1.65,39.3,105.19,122.19,True,edge,1.8961194845523,1.01189177846354,2.42111385778683,0.884227706088754
3,Aragonite,12.96,4.0622,5,136.1,4.49,4.3592,2.3032,37.547,0.7,1.75,91.19,69.58,117.35,True,edge,2.56186769092413,1.47228855428675,2.97302257294916,1.08957913663738
4,Aragonite,3.78,2.1938,0,349.05,2.29,1.7967,1.3415,86.563,0.49,0.71,72.38,124.26,13.73,True,edge,1.3297240096315,0.585951648956389,2.10385707129738,0.743772360675107
5,Aragonite,5.94,2.7501,1,76.98,6.03,3.1209,1.2879,39.07,0.85,1.42,177.75,72.96,3.19,True,no,1.78170913337455,1.13812142176282,1.90329712582909,0.643587711611732
6,Aragonite,22.41,5.3417,10,102.59,12.83,6.5374,1.4978,129.03,1.6,5.02,31.03,132.71,70.11,True,no,3.10950728781284,1.87753953290694,3.42796830544253,1.2319677549059
7,Aragonite,4.86,2.4876,7,145.24,8.17,4.8543,3.8081,103.04,1,3.56,79.45,118.41,151.92,True,no,1.5810384379124,1.57986491009174,1.00117421667388,0.00117352782066746
8,Aragonite,1.8,1.5139,1,65.9,4.95,2.0216,1.7833,83.635,0.43,0.78,68.48,40.45,116.47,True,no,0.587786664902119,0.703889277091847,0.890383854372774,-0.116102612189728
9,Aragonite,1.08,1.1726,0,533.25,3.58,1.3423,1.3103,57.933,0.28,0.34,178.76,90.94,32.65,True,no,0.0769610411361284,0.294384560511453,0.804589138046636,-0.217423519375325
10,Aragonite,21.96,5.2878,10,12.27,15.16,5.5663,1.1081,83.922,1.16,2.55,138.13,62.29,137.92,True,no,3.08922261664133,1.71673056032172,3.94517004114043,1.37249205631961
11,Aragonite,3.78,2.1938,2,14.36,5.83,2.5124,1.3115,11.675,0.86,1.46,96.65,109.58,147.65,True,no,1.3297240096315,0.921238471598089,1.50453749402961,0.408485538033408
12,Aragonite,3.69,2.1675,2,34.22,6.27,2.6081,1.4478,128.59,0.33,0.58,98.43,112.86,139.46,True,no,1.30562645805244,0.958621986887593,1.41482305126337,0.347004471164843
13,Aragonite,1.8,1.5139,1,43.6,5.45,2.094,1.9132,101.1,0.43,0.57,37.58,142.16,87.05,True,no,0.587786664902119,0.739076112448345,0.859598853868195,-0.151289447546226
14,Aragonite,8.19,3.2292,5,45.92,7.82,4.2032,1.6942,13.67,0.87,1.51,145.91,70.18,141.32,True,no,2.10291389786498,1.43584613994914,1.94851541682528,0.66706775791584
15,Aragonite,1.08,1.1726,3,148.33,4.75,1.2563,1.1477,19.805,0.5,0.67,63.75,110.89,143.63,True,no,0.0769610411361284,0.228170893028235,0.859667276924302,-0.151209851892107
16,Aragonite,1.53,1.3957,0,267.41,5.12,1.5805,1.2823,74.828,0.59,0.87,74.35,129.88,33.6,True,no,0.425267735404344,0.457741252673535,0.968048086048719,-0.0324735172691913
17,Aragonite,0.9,1.0705,0,476.4,4.9,1.251,1.3657,47.746,0.3,0.3,118.92,111.93,50.12,True,no,-0.105360515657826,0.223943231484774,0.719424460431655,-0.3293037471426
18,Aragonite,1.44,1.3541,1,23.5,5.5,1.3541,1,90,0.41,0.8,131.45,112.94,36.34,True,no,0.364643113587909,0.303137027006641,1.06343696920464,0.0615060865812679
19,Aragonite,21.51,5.2333,8,65.08,11.92,7.1909,1.8881,150.34,1.08,3.07,178.87,139.46,3.6,True,no,3.06851794327964,1.97281633775194,2.9912806463725,1.0957016055277
20,Aragonite,1.62,1.4362,4,152.78,6.5,1.6588,1.3341,83.523,0.41,1.24,103.21,59.83,139.62,True,no,0.482426149244293,0.506094449390089,0.976609597299252,-0.0236683001457965
21,Aragonite,3.96,2.2454,5,156.68,8.95,3.0477,1.8422,93.458,0.39,0.83,64.96,110.83,143.05,True,no,1.37624402526639,1.11438720778347,1.29934048626833,0.261856817482917
22,Aragonite,3.06,1.9739,3,88.06,8.59,2.361,1.4307,113.41,0.74,1.41,113.62,122.18,127.41,True,no,1.11841491596429,0.859085258103376,1.29606099110546,0.259329657860913
