Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Log_Area,Log_Major,Minor,Log_Minor
1,Aragonite,1.4415,1.3548,3,5.47,36.87,1.6826,1.5425,176.67,0.39,0.72,36.31,79.94,167.2,True,no,0.36568423809632,0.520340216134576,0.856709853797694,-0.154655978038256
2,Aragonite,1.4415,1.3548,5,11.87,36.6,2.2552,2.771,23.745,0.8,0.89,82.53,108.3,43.17,True,no,0.36568423809632,0.813238660817766,0.639189428875488,-0.447554422721446
3,Aragonite,6.0543,2.7764,2,21.83,40.14,3.8055,1.8787,154.4,1.76,3.12,178.43,103.56,21.28,True,no,1.80076876338564,1.33644738872531,1.59093417422152,0.464321374660333
4,Aragonite,5.9582,2.7543,4,19.68,43.65,5.0543,3.3674,143.48,1.62,2.93,52.75,22.93,117.55,True,no,1.7847684220392,1.62023936612796,1.1788378212611,0.164529055911245
5,Aragonite,3.0752,1.9788,2,2.13,39.75,1.8204,1.6927,142.43,0.95,1.38,37.14,80,170.31,True,edge,1.12336993979384,0.59905625716035,1.68929905515271,0.524313682633487
6,Aragonite,0.961,1.1062,2,7.7,39.2,1.4153,1.637,18.222,0.43,0.91,79.56,107.04,43.76,True,no,-0.0397808700118446,0.347341522757656,0.679007984172967,-0.387122392769501
7,Aragonite,1.3454,1.3088,3,11.71,40.57,1.9083,2.1258,69.864,0.93,1.35,177.04,104.38,18.72,True,no,0.296691366609368,0.646212793370731,0.705025415291097,-0.349521426761363
8,Aragonite,7.1114,3.0091,2,1.73,46.24,2.7213,1.6358,97.567,1.73,3.01,23.77,78.23,163.59,True,edge,1.96169913019828,1.00110970730687,2.61323632087605,0.960589422891408
9,Aragonite,1.3454,1.3088,2,9.57,45.64,1.5011,1.3154,13.776,0.42,1.33,73.09,22.69,121.71,True,no,0.296691366609368,0.406198172683993,0.896276064219572,-0.109506806074625
10,Aragonite,3.3635,2.0694,0,32.66,46.57,3.0177,2.1264,156.71,0.94,2.15,134.35,56.1,48.73,True,no,1.21298209848352,1.10449495182627,1.1145905822315,0.108487146657258
11,Aragonite,1.7298,1.4841,2,50.5,48.22,1.9192,1.6724,10.029,0.27,0.39,81.49,109.85,43.31,True,no,0.548005794890274,0.651908432543348,0.90131304710296,-0.103902637653073
12,Aragonite,3.7479,2.1845,4,54.72,51.85,2.8312,1.6798,83.272,0.61,1.13,53.71,24.77,117.48,True,no,1.32119568312376,1.04070065004912,1.32378496750494,0.28049503307464
13,Aragonite,1.8259,1.5247,4,7.95,49.11,2.3265,2.3281,5.9746,1.1,2.22,23.25,77.81,160.34,True,no,0.60207301616055,0.844364992302566,0.784826993337632,-0.242291976142016
14,Aragonite,1.3454,1.3088,2,13.71,49.36,1.4684,1.2587,125.51,0.57,1.71,176.28,50.33,29.44,True,no,0.296691366609368,0.384173372640542,0.916235358213021,-0.0874820060311739
15,Aragonite,5.6699,2.6868,5,21.88,52.17,3.7216,1.9186,169.44,1.13,2.51,25.22,77.62,158.51,True,no,1.73517148089983,1.31415368334221,1.52351139294927,0.421017797557621
16,Aragonite,1.2493,1.2612,0,192.38,49.62,1.3664,1.1737,45,0.33,0.72,1.6,89.83,25.71,True,no,0.222583394455647,0.312179544052168,0.914300351288056,-0.0895961495965219
17,Aragonite,2.1142,1.6407,3,1.82,51.45,1.5916,1.8821,18.435,0.47,0.85,2.06,132.13,157.03,True,edge,0.748676490352426,0.464739799570636,1.32834883136466,0.283936690781789
18,Aragonite,1.2493,1.2612,1,40.85,51.38,1.817,2.0755,174.52,0.24,0.43,44.01,115.81,39.75,True,no,0.222583394455647,0.597186789414034,0.687561915244909,-0.374603394958388
19,Aragonite,1.8259,1.5247,2,50.68,52.89,2.3258,2.3267,102.37,0.56,1.43,52.75,22.81,115.81,True,no,0.60207301616055,0.844064065876806,0.785063204058818,-0.241991049716256
20,Aragonite,1.5376,1.3992,1,60.5,51,2.0312,2.1075,170.78,0.54,1.65,175.22,142.64,155.64,True,no,0.430222759233891,0.708626751408332,0.756990941315479,-0.278403992174441
21,Aragonite,1.1532,1.2117,0,115.75,51.58,1.387,1.3103,122.07,0,0,48.6,112.68,57.99,True,no,0.14254068678211,0.327143141332695,0.831434751261716,-0.184602454550584
22,Aragonite,3.5557,2.1277,5,5.08,54.32,2.3894,1.2611,17.792,0.72,1.58,28.67,83.94,94.65,True,no,1.26855194963833,0.871042288400986,1.48811417092157,0.397509661237348
23,Aragonite,1.0571,1.1601,2,74.09,52.64,1.381,1.4169,74.929,0.08,0.44,62.68,62.7,43.77,True,no,0.0555293097924802,0.322807874427155,0.76545981173063,-0.267278564634675
24,Aragonite,1.1532,1.2117,1,85.75,52.08,1.4654,1.4624,145.71,0.5,1.39,73.73,86.69,60.69,True,no,0.14254068678211,0.382128242743726,0.786952367954142,-0.239587555961616
25,Aragonite,1.4415,1.3548,3,9.8,54.13,1.6467,1.4774,99.899,0.88,1.76,145.24,88.05,81.62,True,no,0.36568423809632,0.498773285241816,0.875387137912188,-0.133089047145496
26,Aragonite,3.0752,1.9788,3,77.31,55.94,2.817,2.0267,90.282,0.62,1.69,86.16,125.36,71.57,True,no,1.12336993979384,1.03567248889424,1.09165779197728,0.0876974508996007
