Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
1	Aragonite	9.3312	3.4469	2	6.52	2.33	4.2922	3.1013	12.835	1.76	2.90	68.99	145.35	34.46	True	edge
2	Aragonite	24.932	5.6342	4	22.39	5.07	5.9678	2.2438	26.91	0.69	1.74	30.20	72.03	32.40	True	edge
3	Aragonite	3.2076	2.0209	4	38.59	3.95	1.8888	1.747	87.525	0.82	1.36	141.71	146.95	104.32	True	edge
4	Aragonite	4.8114	2.4751	2	46.55	1.52	2.8282	2.6115	9.654	0.85	2.12	28.29	72.30	31.99	True	edge
5	Aragonite	48.989	7.8978	7	50.56	11.38	7.3542	1.7342	43.378	1.06	3.59	73.08	164.15	27.97	True	edge
6	Aragonite	54.092	8.2989	11	58.19	19.07	12.657	4.652	47.169	1.94	4.62	41.80	49.65	18.12	True	edge
7	Aragonite	1.8954	1.5535	2	75.23	1.08	1.6248	2.1879	32.521	0.68	1.11	59.54	112.01	13.64	True	edge
8	Aragonite	26.681	5.8285	7	77.32	8.61	6.4958	2.4841	55.84	1.09	2.50	89.52	160.35	40.99	True	edge
9	Aragonite	1.8954	1.5535	2	89.15	0.69	1.6264	2.1923	8.226	1.26	1.49	15.88	88.40	29.79	True	edge
10	Aragonite	2.0412	1.6121	2	92.50	1.57	2.0142	3.122	28.125	0.82	1.38	118.33	171.52	60.61	True	edge
11	Aragonite	25.369	5.6834	8	87.43	11.85	5.9317	2.1786	57.281	0.87	1.97	54.58	58.55	9.13	True	edge
12	Aragonite	3.2076	2.0209	4	99.55	2.73	1.6578	1.3459	41.324	0.46	0.91	63.12	121.96	9.36	True	edge
13	Aragonite	3.2076	2.0209	3	104.77	2.91	2.15	2.2636	56.338	0.84	2.03	3.91	6.55	54.08	True	edge
14	Aragonite	15.017	4.3727	9	108.40	8.11	4.5012	2.1193	81.39	1.57	2.99	59.86	123.00	7.46	True	edge
15	Aragonite	3.0618	1.9744	3	115.57	1.67	1.9678	1.9866	166.34	0.60	1.16	160.50	133.43	133.54	True	edge
16	Aragonite	1.8954	1.5535	1	119.69	0.62	1.7954	2.6715	169.51	1.25	1.80	163.98	135.74	135.01	True	edge
17	Aragonite	1.7496	1.4925	2	126.67	1.92	1.1749	1.2393	34.722	0.50	0.91	87.09	152.94	90.75	True	edge
18	Aragonite	11.081	3.7561	5	136.16	2.61	3.8401	2.0905	2.9549	1.36	3.07	45.72	135.09	37.95	True	edge
19	Aragonite	2.187	1.6687	1	148.20	1.80	1.2956	1.2055	45	0.23	1.23	148.45	142.50	128.90	True	edge
20	Aragonite	3.7908	2.197	2	168.08	1.81	2.3929	2.3727	171.24	0.42	1.37	9.78	82.09	24.27	True	edge
21	Aragonite	5.3946	2.6208	4	182.95	2.95	2.6715	2.0782	161.42	0.72	2.07	179.65	73.96	170.08	True	edge
22	Aragonite	2.187	1.6687	2	184.80	0.40	2.5571	4.6963	1.3777	0.45	0.83	141.40	153.93	146.85	True	edge
23	Aragonite	3.0618	1.9744	5	190.67	1.67	1.6233	1.3519	19.587	0.49	0.80	119.00	35.27	94.80	True	edge
24	Aragonite	4.6656	2.4373	4	196.31	2.88	2.2626	1.7235	107.51	0.60	1.06	23.36	116.13	65.36	True	edge
25	Aragonite	8.8938	3.3651	4	207.03	1.48	4.4277	3.4624	1.3194	0.64	1.67	119.78	161.90	128.12	True	edge
26	Aragonite	5.832	2.725	3	216.02	3.22	2.9475	2.34	42.804	0.59	1.11	117.70	31.27	92.47	True	edge
27	Aragonite	6.9984	2.9851	3	220.56	4.71	2.7288	1.6714	49.739	0.72	1.43	42.93	68.70	146.49	True	edge
28	Aragonite	4.0824	2.2799	3	227.57	1.11	2.6225	2.6462	8.7444	1.16	3.35	138.86	154.73	105.51	True	edge
29	Aragonite	2.187	1.6687	2	233.80	1.27	1.96	2.7592	25.697	0.38	1.01	43.60	121.78	26.49	True	edge
30	Aragonite	6.561	2.8903	5	234.22	4.93	3.7394	3.3477	39.177	0.56	1.21	37.69	89.33	7.99	True	edge
31	Aragonite	7.29	3.0466	4	242.94	4.28	3.5126	2.6586	48.466	0.78	1.61	17.57	27.36	20.56	True	edge
32	Aragonite	4.5198	2.3989	2	250.29	2.00	2.267	1.7861	16.129	0.55	1.07	135.70	83.38	66.01	True	edge
33	Aragonite	12.393	3.9723	5	257.25	8.28	4.2158	2.2527	67.102	0.94	2.04	50.98	75.53	178.40	True	edge
34	Aragonite	1.6038	1.429	3	262.82	2.27	1.805	3.1911	63.334	0.45	0.76	56.75	12.80	173.14	True	edge
35	Aragonite	7.29	3.0466	3	266.84	3.46	2.5529	1.4043	61.011	0.69	1.41	51.00	76.05	178.29	True	edge
36	Aragonite	1.458	1.3625	1	274.80	0.60	1.3275	1.8987	4.0651	0.91	1.13	44.01	96.01	10.83	True	edge
37	Aragonite	4.6656	2.4373	4	278.72	3.56	2.4596	2.0368	91.992	1.38	2.21	146.89	148.93	75.18	True	edge
38	Aragonite	2.916	1.9269	3	286.65	0.75	2.6194	3.6961	175.91	0.70	1.48	37.34	36.75	12.35	True	edge
39	Aragonite	2.7702	1.8781	3	292.58	1.89	1.5088	1.2908	102.82	0.57	1.23	99.91	124.80	53.31	True	edge
40	Aragonite	2.4786	1.7765	3	296.94	1.12	1.6395	1.7035	19.996	0.73	1.47	16.50	40.15	51.69	True	edge
41	Aragonite	2.0412	1.6121	2	302.14	1.64	1.3299	1.3611	82.427	0.73	1.54	28.61	38.80	48.56	True	edge
42	Aragonite	1.6038	1.429	0	310.09	1.36	1.2297	1.4811	28.515	0.68	0.75	31.84	48.34	51.53	True	edge
43	Aragonite	4.5198	2.3989	3	316.42	3.58	2.2421	1.747	93.676	0.97	1.58	104.85	157.12	33.65	True	edge
44	Aragonite	1.7496	1.4925	1	323.92	1.92	1.486	1.9827	98.978	0.80	1.52	118.46	131.01	52.35	True	edge
45	Aragonite	2.0412	1.6121	0	359.14	0.93	1.5003	1.7322	172.84	0.45	1.34	160.04	150.35	49.44	True	edge
46	Aragonite	1.8954	1.5535	1	392.77	0.85	1.5101	1.8898	11.31	0.34	0.68	42.43	89.46	109.00	True	edge
