Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
1	Aragonite	0.841	1.0348	0	633.20	22.00	1.1638	1.2649	90	0.38	1.69	15.07	36.91	88.02	True	no
2	Aragonite	1.0092	1.1336	0	475.25	23.58	1.2976	1.3103	57.933	0.29	0.35	36.79	82.94	58.73	True	no
3	Aragonite	1.0933	1.1798	1	555.85	28.46	1.2713	1.1611	103.78	0.52	0.68	7.20	42.31	44.21	True	no
4	Aragonite	1.9343	1.5693	1	559.70	30.91	1.9373	1.5239	100.39	0.91	1.77	1.53	54.38	98.11	True	no
5	Aragonite	16.652	4.6045	3	716.15	33.10	4.0907	1.5786	10.345	0.72	2.07	146.15	136.77	126.07	True	edge
6	Aragonite	0.9251	1.0853	0	565.36	31.45	1.1654	1.1531	71.565	0.12	0.13	15.16	26.90	85.26	True	no
7	Aragonite	0.841	1.0348	0	511.80	33.00	1.1638	1.2649	90	0.33	0.52	35.18	26.83	120.10	True	no
8	Aragonite	3.1117	1.9905	1	688.16	33.86	2.4583	1.5253	9.7853	0.70	1.34	161.14	136.20	129.88	True	no
9	Aragonite	12.026	3.9131	4	679.50	40.56	4.8549	1.5393	73.801	1.73	3.18	162.56	138.44	129.54	True	no
10	Aragonite	1.9343	1.5693	1	669.52	36.43	1.8633	1.4098	157.84	0.67	1.15	164.18	142.18	131.65	True	no
11	Aragonite	12.699	4.0211	6	696.85	40.78	8.0162	3.9742	18.367	1.47	3.10	159.95	135.80	135.10	True	no
12	Aragonite	10.26	3.6144	3	720.38	40.48	3.2999	1.6672	73.6	1.07	2.18	160.96	133.37	137.60	True	edge
13	Aragonite	0.9251	1.0853	0	634.09	38.64	1.2919	1.4169	74.929	0.31	0.85	111.32	95.55	60.18	True	no
14	Aragonite	4.3732	2.3597	3	650.27	41.08	3.4617	2.1522	33.15	1.00	2.43	123.59	15.47	63.92	True	no
15	Aragonite	3.364	2.0696	5	712.75	41.75	2.173	1.1024	60.664	0.55	1.43	58.78	143.08	52.55	True	no
16	Aragonite	2.2707	1.7003	3	654.48	41.78	2.4611	2.095	32.466	0.60	1.35	96.84	102.38	24.74	True	no
17	Aragonite	7.6531	3.1216	6	670.25	45.69	3.722	1.4217	105.5	1.30	2.85	27.47	95.52	113.33	True	no
18	Aragonite	1.4297	1.3492	2	684.53	43.18	2.6719	3.9218	72.709	0.97	1.90	163.94	140.54	133.90	True	no
19	Aragonite	2.1866	1.6686	4	707.04	43.23	1.8845	1.2756	122.74	0.98	1.75	58.56	138.73	50.22	True	no
20	Aragonite	4.7096	2.4488	3	661.77	45.64	3.0944	1.5968	39.702	0.70	1.56	87.25	71.53	105.59	True	no
21	Aragonite	3.1117	1.9905	2	625.27	45.08	2.1469	1.1634	163.61	0.64	1.49	79.51	50.06	108.17	True	no
22	Aragonite	1.5138	1.3883	3	639.28	44.56	1.6803	1.4649	72.766	0.54	1.42	78.48	45.79	111.82	True	no
23	Aragonite	2.1025	1.6361	3	643.64	44.72	1.7316	1.1201	64.422	0.82	1.53	96.48	104.37	24.59	True	no
24	Aragonite	3.7845	2.1951	1	614.42	47.02	3.0382	1.9156	12.428	0.86	2.03	146.48	59.00	82.92	True	no
25	Aragonite	1.0092	1.1336	3	656.08	45.25	1.3708	1.4624	55.706	0.28	0.54	148.10	131.41	8.05	True	no
26	Aragonite	0.9251	1.0853	2	697.55	45.82	1.3495	1.5462	96.88	0.36	0.64	114.26	35.35	73.08	True	no
27	Aragonite	0.9251	1.0853	0	118.64	46.73	1.4216	1.7157	44.145	0.90	2.18	80.02	97.46	20.27	True	no
28	Aragonite	1.4297	1.3492	1	602.59	47.12	1.5278	1.2823	105.17	0.23	0.69	39.77	30.53	178.37	True	no
29	Aragonite	4.7937	2.4705	3	631.82	48.37	3.4545	1.9552	18.904	1.19	3.21	25.65	87.08	119.84	True	no
30	Aragonite	24.473	5.5821	13	643.02	53.20	7.976	2.0416	13.337	2.70	5.73	84.68	60.53	108.48	True	no
31	Aragonite	1.1774	1.2244	2	704.57	46.57	1.4168	1.339	24.985	0.50	1.13	107.78	28.56	68.74	True	no
32	Aragonite	11.606	3.8441	6	715.72	47.49	4.2899	2.4908	7.9359	0.86	2.35	117.33	25.15	69.20	True	edge
33	Aragonite	1.682	1.4634	0	342.30	48.25	1.7143	1.3722	176.19	0.79	1.37	20.94	33.29	25.37	True	no
34	Aragonite	3.5322	2.1207	3	587.07	49.81	2.2903	1.1664	13.679	0.73	1.70	39.57	108.86	78.12	True	no
35	Aragonite	4.3732	2.3597	4	689.69	49.94	3.1828	1.8193	163.1	1.13	2.38	112.13	35.48	76.17	True	no
36	Aragonite	5.2142	2.5766	3	576.42	51.45	3.9498	2.3499	8.5108	0.71	1.71	5.05	161.48	170.18	True	no
37	Aragonite	1.3456	1.3089	3	607.31	50.38	1.6272	1.5455	70.308	0.51	1.21	16.90	59.96	167.81	True	no
38	Aragonite	1.2615	1.2674	3	696.60	50.07	1.3693	1.1673	74.518	0.38	0.88	108.17	27.40	70.46	True	no
39	Aragonite	1.5979	1.4264	3	705.89	49.84	1.9177	1.8076	176.29	0.66	1.31	116.02	28.92	70.43	True	no
40	Aragonite	3.2799	2.0436	3	592.74	52.87	2.6084	1.6292	27.463	0.78	1.67	16.47	59.91	167.54	True	no
41	Aragonite	1.2615	1.2674	3	604.33	51.93	1.8081	2.0353	90.536	0.97	1.69	101.73	101.15	27.04	True	no
42	Aragonite	1.9343	1.5693	2	621.30	52.04	2.1192	1.8235	30.644	0.94	1.13	124.67	14.52	67.31	True	no
43	Aragonite	7.8213	3.1557	6	661.51	52.70	4.3867	1.9324	18.916	1.07	2.26	154.52	70.68	80.92	True	no
44	Aragonite	3.2799	2.0436	4	683.82	52.51	3.2221	2.486	147.39	0.66	1.26	170.70	76.61	32.40	True	no
45	Aragonite	4.3732	2.3597	2	720.35	50.88	2.067	1.5346	27.557	0.69	1.44	76.54	59.63	120.06	True	edge
46	Aragonite	6.2234	2.8149	2	678.22	55.15	4.1653	2.1896	155.05	0.79	2.07	111.32	27.03	68.12	True	no
47	Aragonite	5.9711	2.7573	5	567.18	55.92	2.9938	1.1789	60.446	0.94	1.89	21.02	35.40	168.58	True	no
48	Aragonite	1.1774	1.2244	3	703.64	52.36	1.8304	2.235	3.5065	0.35	1.13	112.66	26.57	73.49	True	no
49	Aragonite	4.3732	2.3597	8	710.67	54.10	3.3536	2.0199	3.4144	0.92	2.77	21.79	58.58	150.56	True	no
50	Aragonite	0.841	1.0348	3	716.40	52.80	1.4259	1.8987	94.065	0.34	1.03	10.18	65.32	158.65	True	no
51	Aragonite	2.9435	1.9359	3	557.54	54.80	2.9319	2.2937	23.053	0.65	1.36	71.64	67.30	108.35	True	no
52	Aragonite	7.0644	2.9991	8	598.69	57.43	4.1607	1.9247	31.094	1.55	3.55	128.74	12.57	65.30	True	no
53	Aragonite	0.9251	1.0853	3	609.27	53.09	1.5447	2.0258	24.337	0.67	0.92	100.69	100.50	27.23	True	no
54	Aragonite	6.0552	2.7766	7	614.81	58.33	3.9641	2.0382	149.07	1.65	3.16	127.69	12.67	64.83	True	no
55	Aragonite	1.0933	1.1798	3	689.54	55.15	1.4243	1.4572	64.198	0.43	0.90	107.35	33.34	74.26	True	no
56	Aragonite	3.1117	1.9905	4	695.08	56.65	2.5197	1.6025	38.561	0.61	1.04	111.27	27.97	73.80	True	no
57	Aragonite	15.727	4.4748	8	580.87	59.21	7.5225	2.826	4.6104	1.38	3.86	11.00	57.61	173.99	True	no
58	Aragonite	4.1209	2.2906	3	620.73	56.90	3.4113	2.2179	14.855	1.36	3.83	17.83	58.40	167.54	True	no
59	Aragonite	1.682	1.4634	4	667.70	56.35	1.703	1.3543	115.87	0.34	0.59	115.21	16.40	27.62	True	no
60	Aragonite	7.9054	3.1726	7	675.46	61.20	4.378	1.9042	140.07	0.70	1.66	147.96	131.24	10.51	True	no
61	Aragonite	3.2799	2.0436	5	700.38	57.79	2.4465	1.4332	42.18	0.71	1.09	169.99	153.70	163.16	True	no
