Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
1	Aragonite	26.1	5.7647	3	115.15	9.21	5.9696	2.1447	112.3	1.02	3.21	113.52	121.57	125.50	True	edge
2	Aragonite	6.66	2.912	2	128.92	2.54	2.7508	1.7847	42.747	0.87	1.65	39.30	105.19	122.19	True	edge
3	Aragonite	12.96	4.0622	5	136.10	4.49	4.3592	2.3032	37.547	0.70	1.75	91.19	69.58	117.35	True	edge
4	Aragonite	3.78	2.1938	0	349.05	2.29	1.7967	1.3415	86.563	0.49	0.71	72.38	124.26	13.73	True	edge
5	Aragonite	5.94	2.7501	1	76.98	6.03	3.1209	1.2879	39.07	0.85	1.42	177.75	72.96	3.19	True	no
6	Aragonite	22.41	5.3417	10	102.59	12.83	6.5374	1.4978	129.03	1.60	5.02	31.03	132.71	70.11	True	no
7	Aragonite	4.86	2.4876	7	145.24	8.17	4.8543	3.8081	103.04	1.00	3.56	79.45	118.41	151.92	True	no
8	Aragonite	1.8	1.5139	1	65.90	4.95	2.0216	1.7833	83.635	0.43	0.78	68.48	40.45	116.47	True	no
9	Aragonite	1.08	1.1726	0	533.25	3.58	1.3423	1.3103	57.933	0.28	0.34	178.76	90.94	32.65	True	no
10	Aragonite	21.96	5.2878	10	12.27	15.16	5.5663	1.1081	83.922	1.16	2.55	138.13	62.29	137.92	True	no
11	Aragonite	3.78	2.1938	2	14.36	5.83	2.5124	1.3115	11.675	0.86	1.46	96.65	109.58	147.65	True	no
12	Aragonite	3.69	2.1675	2	34.22	6.27	2.6081	1.4478	128.59	0.33	0.58	98.43	112.86	139.46	True	no
13	Aragonite	1.8	1.5139	1	43.60	5.45	2.094	1.9132	101.1	0.43	0.57	37.58	142.16	87.05	True	no
14	Aragonite	8.19	3.2292	5	45.92	7.82	4.2032	1.6942	13.67	0.87	1.51	145.91	70.18	141.32	True	no
15	Aragonite	1.08	1.1726	3	148.33	4.75	1.2563	1.1477	19.805	0.50	0.67	63.75	110.89	143.63	True	no
16	Aragonite	1.53	1.3957	0	267.41	5.12	1.5805	1.2823	74.828	0.59	0.87	74.35	129.88	33.60	True	no
17	Aragonite	0.9	1.0705	0	476.40	4.90	1.251	1.3657	47.746	0.30	0.30	118.92	111.93	50.12	True	no
18	Aragonite	1.44	1.3541	1	23.50	5.50	1.3541	1	90	0.41	0.80	131.45	112.94	36.34	True	no
19	Aragonite	21.51	5.2333	8	65.08	11.92	7.1909	1.8881	150.34	1.08	3.07	178.87	139.46	3.60	True	no
20	Aragonite	1.62	1.4362	4	152.78	6.50	1.6588	1.3341	83.523	0.41	1.24	103.21	59.83	139.62	True	no
21	Aragonite	3.96	2.2454	5	156.68	8.95	3.0477	1.8422	93.458	0.39	0.83	64.96	110.83	143.05	True	no
22	Aragonite	3.06	1.9739	3	88.06	8.59	2.361	1.4307	113.41	0.74	1.41	113.62	122.18	127.41	True	no
23	Aragonite	1.89	1.5513	1	103.81	8.24	2.4766	2.5489	106.32	0.81	1.93	113.91	121.96	127.45	True	no
24	Aragonite	15.03	4.3746	9	126.26	14.22	6.1967	2.0066	116.46	0.77	3.82	154.62	88.91	130.83	True	no
25	Aragonite	3.78	2.1938	5	139.21	8.88	2.8128	1.6439	30.768	0.82	2.18	38.34	104.87	121.90	True	no
26	Aragonite	2.52	1.7912	6	149.04	10.82	3.2503	3.2926	88.509	0.63	2.41	110.98	61.54	145.16	True	no
27	Aragonite	28.53	6.0271	10	166.29	18.28	6.791	1.2696	42.478	1.80	3.67	71.01	112.23	145.02	True	no
28	Aragonite	18.63	4.8704	10	29.21	14.97	5.5043	1.2773	37.081	1.34	3.19	73.17	100.10	140.51	True	no
29	Aragonite	1.44	1.3541	5	152.06	11.06	1.7392	1.6499	110.71	0.48	1.09	72.33	114.64	145.32	True	no
30	Aragonite	7.38	3.0654	2	161.90	16.22	4.3065	1.9737	97.468	1.27	3.77	105.24	60.93	142.32	True	no
