Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current dataset	Border_grain
1	Aragonite	2.9696	1.9445	2	133.66	12.93	2.5466	1.7152	78.84	1.09	2.18	108.17	113.17	15.69	True	no
2	Aragonite	2.3552	1.7317	2	128.96	13.35	2.1295	1.5123	95.231	0.76	1.51	113.44	110.46	16.09	True	no
3	Aragonite	1.8432	1.5319	2	116.83	13.72	2.0566	1.8023	93.009	0.75	1.40	121.74	105.65	20.45	True	no
4	Aragonite	19.046	4.9245	7	123.93	25.04	9.6875	3.8699	96.703	2.43	4.72	113.85	110.37	10.71	True	no
5	Aragonite	3.7888	2.1964	4	141.51	14.84	3.1543	2.0625	49.819	0.91	1.98	88.23	12.28	135.23	True	no
6	Aragonite	3.584	2.1362	2	148.89	13.74	2.4207	1.2842	2.2806	0.73	2.09	40.97	124.67	174.31	True	no
7	Aragonite	17.101	4.6662	10	116.42	30.75	11.618	6.1993	104.81	1.95	4.45	115.68	107.80	15.97	True	no
8	Aragonite	1.2288	1.2508	2	118.92	15.92	1.7997	2.0702	72.007	0.97	2.20	174.25	158.05	58.55	True	no
9	Aragonite	1.2288	1.2508	2	143.33	15.42	1.77	2.0023	24.306	0.48	0.78	46.58	71.29	171.45	True	no
10	Aragonite	1.4336	1.351	0	325.00	15.50	1.4408	1.1373	138.56	0.67	1.46	0.93	30.62	135.50	True	no
11	Aragonite	2.56	1.8054	3	132.28	19.32	2.0788	1.3258	66.111	1.19	2.46	106.77	112.66	15.01	True	no
12	Aragonite	6.8608	2.9556	4	108.76	24.19	5.5271	3.4971	112.18	1.68	2.88	96.53	46.57	15.74	True	no
13	Aragonite	1.8432	1.5319	4	136.00	20.11	2.0735	1.832	83.698	0.77	1.60	100.95	60.95	18.37	True	no
14	Aragonite	4.5056	2.3951	3	102.73	24.75	5.3149	4.9242	98.254	1.29	2.85	34.93	41.05	105.01	True	no
