Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current_dataset	Border_grain
1	Aragonite	1.4415	1.3548	3	5.47	36.87	1.6826	1.5425	176.67	0.39	0.72	36.31	79.94	167.20	True	no
2	Aragonite	1.4415	1.3548	5	11.87	36.60	2.2552	2.771	23.745	0.80	0.89	82.53	108.30	43.17	True	no
3	Aragonite	6.0543	2.7764	2	21.83	40.14	3.8055	1.8787	154.4	1.76	3.12	178.43	103.56	21.28	True	no
4	Aragonite	5.9582	2.7543	4	19.68	43.65	5.0543	3.3674	143.48	1.62	2.93	52.75	22.93	117.55	True	no
5	Aragonite	3.0752	1.9788	2	2.13	39.75	1.8204	1.6927	142.43	0.95	1.38	37.14	80.00	170.31	True	edge
6	Aragonite	0.961	1.1062	2	7.70	39.20	1.4153	1.637	18.222	0.43	0.91	79.56	107.04	43.76	True	no
7	Aragonite	1.3454	1.3088	3	11.71	40.57	1.9083	2.1258	69.864	0.93	1.35	177.04	104.38	18.72	True	no
8	Aragonite	7.1114	3.0091	2	1.73	46.24	2.7213	1.6358	97.567	1.73	3.01	23.77	78.23	163.59	True	edge
9	Aragonite	1.3454	1.3088	2	9.57	45.64	1.5011	1.3154	13.776	0.42	1.33	73.09	22.69	121.71	True	no
10	Aragonite	3.3635	2.0694	0	32.66	46.57	3.0177	2.1264	156.71	0.94	2.15	134.35	56.10	48.73	True	no
11	Aragonite	1.7298	1.4841	2	50.50	48.22	1.9192	1.6724	10.029	0.27	0.39	81.49	109.85	43.31	True	no
12	Aragonite	3.7479	2.1845	4	54.72	51.85	2.8312	1.6798	83.272	0.61	1.13	53.71	24.77	117.48	True	no
13	Aragonite	1.8259	1.5247	4	7.95	49.11	2.3265	2.3281	5.9746	1.10	2.22	23.25	77.81	160.34	True	no
14	Aragonite	1.3454	1.3088	2	13.71	49.36	1.4684	1.2587	125.51	0.57	1.71	176.28	50.33	29.44	True	no
15	Aragonite	5.6699	2.6868	5	21.88	52.17	3.7216	1.9186	169.44	1.13	2.51	25.22	77.62	158.51	True	no
16	Aragonite	1.2493	1.2612	0	192.38	49.62	1.3664	1.1737	45	0.33	0.72	1.60	89.83	25.71	True	no
17	Aragonite	2.1142	1.6407	3	1.82	51.45	1.5916	1.8821	18.435	0.47	0.85	2.06	132.13	157.03	True	edge
18	Aragonite	1.2493	1.2612	1	40.85	51.38	1.817	2.0755	174.52	0.24	0.43	44.01	115.81	39.75	True	no
19	Aragonite	1.8259	1.5247	2	50.68	52.89	2.3258	2.3267	102.37	0.56	1.43	52.75	22.81	115.81	True	no
20	Aragonite	1.5376	1.3992	1	60.50	51.00	2.0312	2.1075	170.78	0.54	1.65	175.22	142.64	155.64	True	no
21	Aragonite	1.1532	1.2117	0	115.75	51.58	1.387	1.3103	122.07	0.00	0.00	48.60	112.68	57.99	True	no
22	Aragonite	3.5557	2.1277	5	5.08	54.32	2.3894	1.2611	17.792	0.72	1.58	28.67	83.94	94.65	True	no
23	Aragonite	1.0571	1.1601	2	74.09	52.64	1.381	1.4169	74.929	0.08	0.44	62.68	62.70	43.77	True	no
24	Aragonite	1.1532	1.2117	1	85.75	52.08	1.4654	1.4624	145.71	0.50	1.39	73.73	86.69	60.69	True	no
25	Aragonite	1.4415	1.3548	3	9.80	54.13	1.6467	1.4774	99.899	0.88	1.76	145.24	88.05	81.62	True	no
26	Aragonite	3.0752	1.9788	3	77.31	55.94	2.817	2.0267	90.282	0.62	1.69	86.16	125.36	71.57	True	no
27	Aragonite	7.8802	3.1676	6	82.88	58.30	3.9292	1.5387	64.565	0.80	2.16	79.61	128.00	75.15	True	no
28	Aragonite	1.4415	1.3548	3	41.33	54.53	1.4513	1.1477	153.82	0.22	0.54	5.92	115.84	141.67	True	no
29	Aragonite	8.8412	3.3551	6	17.08	61.51	4.7175	1.9769	92.298	1.15	3.09	106.98	127.14	55.76	True	no
30	Aragonite	0.961	1.1062	2	28.70	55.10	1.2177	1.2118	35.28	0.37	1.47	31.58	81.37	156.54	True	no
31	Aragonite	9.61	3.498	7	36.01	63.68	6.3641	3.3101	68.441	2.13	4.43	41.58	115.38	38.94	True	no
32	Aragonite	1.7298	1.4841	1	65.28	56.56	1.7571	1.4019	87.639	0.74	1.16	67.42	129.92	57.87	True	no
33	Aragonite	2.883	1.9159	4	72.70	58.53	2.8574	2.2242	99.687	1.57	2.15	74.53	137.62	60.05	True	no
34	Aragonite	1.922	1.5643	3	32.95	57.00	1.7525	1.255	90	0.73	2.11	61.45	61.44	85.59	True	no
35	Aragonite	2.0181	1.603	0	109.38	58.67	2.9174	3.3123	82.604	0.86	1.37	12.23	54.63	20.77	True	no
36	Aragonite	1.5376	1.3992	4	11.38	57.38	1.8968	1.8378	4.0024	0.58	1.46	80.98	81.03	88.94	True	no
37	Aragonite	0.961	1.1062	2	42.60	57.90	1.2927	1.3657	132.25	0.21	0.83	132.06	112.79	39.41	True	no
38	Aragonite	2.0181	1.603	2	55.62	58.33	1.7282	1.1624	12.202	0.43	0.51	130.51	20.57	38.46	True	no
39	Aragonite	1.3454	1.3088	2	68.29	58.36	1.8903	2.0859	57.188	0.71	1.04	27.15	91.78	38.86	True	no
40	Aragonite	2.4986	1.7836	4	0.62	59.62	2.0891	2.7438	93.698	0.61	0.72	27.96	85.83	92.23	True	edge
41	Aragonite	1.4415	1.3548	2	23.87	59.47	1.7374	1.6446	89.809	0.35	0.81	16.81	85.90	55.59	True	no
42	Aragonite	2.2103	1.6776	3	89.91	59.52	2.217	1.7465	122.85	0.49	1.11	65.76	143.74	79.98	True	no
43	Aragonite	2.1142	1.6407	2	122.77	59.09	1.6979	1.071	146.31	0.44	0.76	99.95	42.23	90.87	True	no
44	Aragonite	1.1532	1.2117	4	4.08	59.08	1.7435	2.0702	17.993	1.19	1.88	148.83	88.61	81.88	True	no
45	Aragonite	1.922	1.5643	1	50.35	59.95	1.8692	1.4278	176.74	1.09	1.42	13.30	102.72	31.37	True	no
46	Aragonite	2.4986	1.7836	5	9.23	61.15	2.0152	1.2765	1.9393	0.56	1.12	144.97	88.42	81.14	True	no
