Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current_dataset	Border_grain	Area_Log	Major_Log	Minor	Minor_Log
1	Aragonite	1.875	1.5451	2	3.8	1.2	1.3207	1.4613	177.55	0.79	1.48	130.25	44.07	60.04	True	edge	0.628608659422374	0.278161899067622	1.41970167335504	0.350446760354752
2	Aragonite	1.875	1.5451	3	13.07	1.4	1.4299	1.7129	142.76	0.31	0.95	3.99	66.98	120.57	True	edge	0.628608659422374	0.357604511756664	1.31128050912651	0.27100414766571
3	Aragonite	2.75	1.8712	2	20.73	1.41	1.6075	1.476	169.71	0.43	1.01	75.56	51.98	83.3	True	edge	1.01160091167848	0.474680177129637	1.71073094867807	0.536920734548842
4	Aragonite	3.75	2.1851	3	26.63	3.07	1.7246	1.2459	173.64	0.85	1.52	15.35	70.56	112	True	edge	1.32175583998232	0.544995139536087	2.17441725617534	0.776760700446232
5	Aragonite	25.5	5.698	8	31.87	10.57	6.1341	2.3179	73.321	2.78	5.27	73.09	58.23	84.73	True	edge	3.23867845216438	1.81386336813498	4.15708905951973	1.4248150840294
6	Aragonite	1.25	1.2616	3	39.4	1.7	1.3082	2.1506	131.63	0.41	1.07	15.52	70.82	117.29	True	edge	0.22314355131421	0.268652146544975	0.955511389695765	-0.0455085952307656
7	Aragonite	3.125	1.9947	2	48.08	3.24	1.8533	1.7265	94.823	0.99	2.39	156.49	110.47	36.8	True	edge	1.13943428318836	0.616967833821127	1.6861814061404	0.522466449367237
8	Aragonite	22.375	5.3375	9	59.14	9.29	5.6655	2.2534	138.85	1.27	3.17	126.12	66.82	37.38	True	edge	3.10794426416092	1.73439515183848	3.94934251169358	1.37354911232243
9	Aragonite	5.875	2.735	2	60.45	1.85	2.8365	2.1512	170.57	0.67	2.18	158.49	108.65	35.45	True	edge	1.77070606003022	1.04257089778448	2.07121452494271	0.728135162245738
10	Aragonite	1.5	1.382	3	67.17	0.83	1.2046	1.5196	178.09	0.33	0.8	154.03	109.45	31.68	True	edge	0.405465108108164	0.186147561627484	1.24522663124689	0.219317546480681
11	Aragonite	1.625	1.4384	4	71	1.77	1.1698	1.3229	147.39	0.52	1.27	129.59	41.02	35.71	True	edge	0.485507815781701	0.156832794026788	1.389126346384	0.328675021754913
12	Aragonite	3.5	2.111	4	76.36	1.39	2.1936	2.1596	168.95	0.95	1.85	12.89	35.15	140.27	True	edge	1.25276296849537	0.785544029825913	1.59555069292487	0.467218938669455
13	Aragonite	1.25	1.2616	3	81.4	1	0.9568	1.1504	115.67	0.21	0.69	36.63	17.5	101.91	True	edge	0.22314355131421	-0.0441608957857698	1.3064381270903	0.267304447099979
14	Aragonite	8.125	3.2164	5	90.09	2.54	3.3171	2.1272	167.85	1.69	3.8	123.42	51.58	26.29	True	edge	2.0949457282158	1.19909090723433	2.44942871785596	0.895854820981472
15	Aragonite	1.5	1.382	2	97	1.17	1.1565	1.4005	143.13	0.37	0.68	130.46	61.84	25.75	True	edge	0.405465108108164	0.145398202689357	1.2970168612192	0.260066905418807
16	Aragonite	22.5	5.3524	11	114.11	14.31	6.1035	2.6007	140.65	1.09	3.71	152.28	121.28	24.77	True	edge	3.11351530921037	1.80886237712772	3.68640943720816	1.30465293208266
17	Aragonite	12.625	4.0093	3	108.62	4.81	3.1011	1.1965	104.7	1.26	3.17	68.56	23	73.57	True	edge	2.53567897516142	1.13175688726041	4.07113604849892	1.40392208790101
18	Aragonite	1.25	1.2616	3	114.8	2.1	1.1939	1.7912	110.62	0.61	0.96	51.25	52.19	88.59	True	edge	0.22314355131421	0.177225259369206	1.04698886003853	0.0459182919450043
19	Aragonite	2.75	1.8712	2	127.5	1.5	1.6802	1.6126	151.08	0.53	2.04	127.67	85.98	53.8	True	edge	1.01160091167848	0.51891283394861	1.63670991548625	0.49268807772987
20	Aragonite	5.625	2.6762	4	133.4	2.89	2.2323	1.3916	45.421	0.67	1.4	54.43	61.43	82.48	True	edge	1.72722094809048	0.803032444089188	2.51982260448864	0.924188504001296
21	Aragonite	1.75	1.4927	4	142.36	0.5	2.2235	4.4379	173.3	0.87	1.58	15.86	53.91	95.05	True	edge	0.559615787935423	0.799082530968614	0.787047447717562	-0.239466743033191
22	Aragonite	7	2.9854	3	150.04	3.32	2.2646	1.1508	9.2337	0.96	2.49	83.46	53.11	67.66	True	edge	1.94591014905531	0.817398142897802	3.09105360770114	1.12851200615751
23	Aragonite	9.75	3.5234	5	158.46	10.65	5.6958	5.2266	107.08	0.89	2.46	101.81	61.26	44.65	True	edge	2.27726728500976	1.73972906113367	1.71178763299273	0.537538223876085
24	Aragonite	13.625	4.1651	4	163.04	7.87	4.6432	2.4855	99.221	2.06	4.11	39.88	33.07	90.34	True	edge	2.61190634054931	1.53540378370773	2.93439869055824	1.07650255684158
25	Aragonite	5.25	2.5854	2	171.81	1.19	3.7201	4.1406	175.86	0.95	2.2	161.26	73.46	14.78	True	edge	1.65822807660353	1.31375054964418	1.41125238568856	0.344477526959354
26	Aragonite	1.75	1.4927	2	179.79	1.21	1.1259	1.1379	171.09	0.58	1.58	13.48	35.19	96.38	True	edge	0.559615787935423	0.118582715826948	1.55431210587086	0.441033072108475
