Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Area_Log,Major_Log,Minor,Minor_Log
1,Aragonite,1.8,1.5139,2,89.3,1.2,1.3354,1.5562,50.884,0.14,0.36,71.75,98.14,70.33,True,edge,0.587786664902119,0.289230872441631,1.34791073835555,0.298555792460488
2,Aragonite,7.56,3.1025,4,93.83,2.43,2.7302,1.5488,23.518,0.74,2.16,11.93,77.74,71.73,True,edge,2.02287119019144,1.00437486658674,2.76902791004322,1.0184963236047
3,Aragonite,11.7,3.8597,5,107.38,5.31,4.3422,2.5313,95.576,1.13,2.65,122.42,106.42,70.44,True,edge,2.45958884180371,1.468381132118,2.69448666574547,0.99120770968571
4,Aragonite,5.04,2.5332,3,113.82,2.36,1.8637,1.0825,41.154,1.03,1.57,73.29,86.45,64.11,True,edge,1.61740608208328,0.622563759104482,2.70429790202286,0.994842322978795
5,Aragonite,3.96,2.2454,2,123.14,1.18,2.1142,1.773,173.51,0.57,1.26,95.49,97.63,73.27,True,edge,1.37624402526639,0.748676490352426,1.87304890738814,0.627567534913964
6,Aragonite,16.92,4.6415,4,131.41,3.39,4.272,1.6942,19.383,0.77,1.8,14.38,69.79,115.78,True,edge,2.82849635417808,1.45208210165789,3.96067415730337,1.37641425252018
7,Aragonite,13.14,4.0903,5,143.04,5.56,3.4942,1.4596,77.559,0.93,1.76,157.38,91.83,57.79,True,edge,2.57566101305646,1.25110445105821,3.76051742888215,1.32455656199826
8,Aragonite,1.98,1.5878,3,149,0.91,1.3789,1.5084,165.29,0.23,0.43,177.79,66.03,51.2,True,edge,0.683096844706444,0.321286079865558,1.43592718833853,0.361810764840885
9,Aragonite,4.68,2.4411,3,157.19,2.88,2.1576,1.5624,68.209,0.56,1.86,103.45,48.57,97.75,True,edge,1.54329810992956,0.768996492843383,2.16907675194661,0.774301617086172
10,Aragonite,6.66,2.912,5,161.41,5,3.5311,2.9408,94.964,0.8,1.22,36.95,68.86,130.27,True,edge,1.8961194845523,1.2616094371343,1.88609781654442,0.634510047418001
11,Aragonite,2.88,1.9149,2,165.69,1.19,1.6922,1.5618,23.687,0.39,0.9,177.5,74.91,48.21,True,edge,1.05779029414785,0.526029457508263,1.70192648623094,0.531760836639591
12,Aragonite,7.56,3.1025,4,165.74,4.95,2.9616,1.8224,51.203,0.77,1.46,110.02,45.13,85.9,True,edge,2.02287119019144,1.0857296628371,2.55267423014587,0.937141527354346
13,Aragonite,4.32,2.3453,4,175.13,1.88,2.191,1.7455,43.246,0.75,1.39,90.52,55.83,106.1,True,edge,1.46325540225602,0.784358060613329,1.97170241898676,0.67889734164269
