Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Area_Log,Major_Log,Minor,Minor_Log
1,Aragonite,13.32,4.1182,8,18.8,9.81,5.476,3.5362,90.969,1.09,3.16,98.02,161.58,30.3,True,edge,2.58926666511224,1.7003749074262,2.43243243243243,0.888891757686041
2,Aragonite,3.6709,2.1619,5,26.66,3.74,2.2433,2.1535,87.786,0.9,2.22,65.67,100.08,11.08,True,edge,1.30043686360975,0.807947996037123,1.63638389872063,0.49248886757263
3,Aragonite,1.2586,1.2659,2,32.08,0.92,1.2879,2.0702,162.01,0.34,0.87,153.31,130.42,75.58,True,edge,0.229999992110696,0.253012984916488,0.977249786474105,-0.0230129928057914
4,Aragonite,29.157,6.093,7,43.51,18.14,6.958,2.6082,74.11,1.6,3.4,35.7,63.05,57.52,True,edge,3.37269502118944,1.93989207672975,4.19042828398965,1.43280294445969
5,Aragonite,1.1537,1.212,2,50.73,2.27,1.1101,1.6779,99.992,0.85,1.15,37.29,63.27,55.95,True,edge,0.142974168951107,0.104450101356464,1.03927574092424,0.0385240675946425
6,Aragonite,10.488,3.6543,5,53.46,11.47,5.0632,3.8395,87.289,0.76,2.52,56.16,43.38,84.34,True,edge,2.3502317464614,1.62199869447896,2.07141728551114,0.72823305198244
7,Aragonite,2.0976,1.6343,2,57,1.95,1.3416,1.3478,101.44,0.51,1.12,166.51,121.64,46.59,True,edge,0.740793834027298,0.293862931526862,1.56350626118068,0.446930902500436
8,Aragonite,10.278,3.6176,4,62.38,6.39,3.6743,2.0632,82.331,0.78,2.55,128.66,108.68,11.69,True,edge,2.33000568857004,1.30136263833143,2.79726750673598,1.02864305023861
9,Aragonite,8.1808,3.2274,4,69.17,7.95,3.7851,2.7509,99.256,0.62,1.43,46.7,48.55,76.33,True,edge,2.1017899453436,1.33107230661967,2.1613167419619,0.77071763872393
10,Aragonite,3.8806,2.2228,2,73.22,2.35,1.6136,1.0539,65.154,0.85,1.41,110.2,49.29,18.19,True,edge,1.35598978085503,0.478467707657865,2.40493306891423,0.87752207319717
11,Aragonite,2.4123,1.7525,1,81,2.91,1.7577,2.0119,93.465,0.47,1.14,110.1,34.7,19.29,True,edge,0.880580649240076,0.564006136236716,1.37241850145076,0.31657451300336
12,Aragonite,4.0904,2.2821,1,86.59,2.56,1.97,1.4903,130.23,1.07,2.06,137.82,150.21,19.76,True,edge,1.40864276478365,0.678033542749897,2.07634517766497,0.730609222033755
13,Aragonite,9.5443,3.486,4,160.57,9.01,5.1897,4.4327,91.362,0.89,2.48,96.15,113.36,9.13,True,edge,2.25594411766287,1.6466758920389,1.83908511089273,0.609268225623967
14,Aragonite,8.6003,3.3091,3,165.18,8.66,4.6198,3.898,87.367,1.29,2.78,103.46,113.52,13.42,True,edge,2.15179708637197,1.53035141411332,1.86161738603403,0.621445672258653
15,Aragonite,35.765,6.7481,9,172.28,18.77,8.7724,3.3798,84.588,1.16,2.78,70.47,74.89,5.89,True,edge,3.57696976156035,2.17161042915121,4.07699147325703,1.40535933240913
16,Aragonite,6.188,2.8069,3,180.51,6.54,3.4119,2.9551,90.286,0.92,1.94,75.46,66.75,72.97,True,edge,1.82261193271082,1.22726932087637,1.81365221723966,0.595342611834448
