Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current_dataset	Border_grain	Area_Log	Major_Log	Minor	Minor_Log
1	Aragonite	1.9414	1.5722	3	2.95	1.48	1.3003	1.3681	178.85	0.54	1.31	79.86	85.72	40.11	True	edge	0.663409362295989	0.262595007075137	1.49304006767669	0.400814355220852
2	Aragonite	2.4037	1.7494	4	8.58	2.54	1.6577	1.7958	118.08	0.66	1.67	154.94	147.81	90.64	True	edge	0.877009216872479	0.505431099448683	1.45002111359112	0.371578117423796
3	Aragonite	11.186	3.774	4	22.6	3.8	3.755	1.9799	162.78	1.5	3.35	40.64	60.35	36.31	True	edge	2.4146629963994	1.3230882852161	2.97896138482024	1.0915747111833
4	Aragonite	1.4792	1.3724	1	35.19	1	1.3588	1.9605	180	0.76	1.13	34.82	156.68	87.47	True	edge	0.391501401090778	0.306601957304292	1.08860759493671	0.0848994437864863
5	Aragonite	6.564	2.8909	2	45.46	3.72	2.696	1.7393	136.34	0.78	1.7	145.54	62.69	149.26	True	edge	1.88160017322784	0.991769193050061	2.43471810089021	0.889830980177784
6	Aragonite	1.7565	1.4955	3	53.32	2.05	1.295	1.4997	92.761	0.82	1.39	132.21	151.24	75.56	True	edge	0.563323192723745	0.258510695151501	1.35637065637066	0.304812497572244
7	Aragonite	13.59	4.1597	3	67.76	5.22	4.2067	2.0454	152.66	0.79	2.03	174.68	57.98	136	True	edge	2.60933422816305	1.43667849234383	3.23056077210165	1.17265573581922
8	Aragonite	7.396	3.0687	3	80.82	2.72	3.3493	2.3825	170.88	1.31	3.15	40.95	158.2	95.01	True	edge	2.00093931352488	1.20875136877891	2.20822261368047	0.792187944745968
9	Aragonite	2.3112	1.7155	2	89.92	1.08	1.7839	2.1629	177.47	0.75	2.09	99.13	159.65	140.11	True	edge	0.837766870169888	0.578801978775085	1.29558831773081	0.258964891394804
10	Aragonite	14.515	4.2989	7	95.73	6.57	4.2535	1.958	18.11	0.9	2.32	0.63	137.98	53.99	True	edge	2.67518259747659	1.4477421734338	3.41248383684025	1.22744042404279
11	Aragonite	15.532	4.447	7	114.51	9.03	4.7188	2.252	140.07	1.4	3.71	85.49	139.15	122.9	True	edge	2.74290241186942	1.55155452998555	3.29151479189624	1.19134788188387
