Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
1	Aragonite	1.8	1.5139	2	89.30	1.20	1.3354	1.5562	50.884	0.14	0.36	71.75	98.14	70.33	True	edge
2	Aragonite	7.56	3.1025	4	93.83	2.43	2.7302	1.5488	23.518	0.74	2.16	11.93	77.74	71.73	True	edge
3	Aragonite	11.7	3.8597	5	107.38	5.31	4.3422	2.5313	95.576	1.13	2.65	122.42	106.42	70.44	True	edge
4	Aragonite	5.04	2.5332	3	113.82	2.36	1.8637	1.0825	41.154	1.03	1.57	73.29	86.45	64.11	True	edge
5	Aragonite	3.96	2.2454	2	123.14	1.18	2.1142	1.773	173.51	0.57	1.26	95.49	97.63	73.27	True	edge
6	Aragonite	16.92	4.6415	4	131.41	3.39	4.272	1.6942	19.383	0.77	1.80	14.38	69.79	115.78	True	edge
7	Aragonite	13.14	4.0903	5	143.04	5.56	3.4942	1.4596	77.559	0.93	1.76	157.38	91.83	57.79	True	edge
8	Aragonite	1.98	1.5878	3	149.00	0.91	1.3789	1.5084	165.29	0.23	0.43	177.79	66.03	51.20	True	edge
9	Aragonite	4.68	2.4411	3	157.19	2.88	2.1576	1.5624	68.209	0.56	1.86	103.45	48.57	97.75	True	edge
10	Aragonite	6.66	2.912	5	161.41	5.00	3.5311	2.9408	94.964	0.80	1.22	36.95	68.86	130.27	True	edge
11	Aragonite	2.88	1.9149	2	165.69	1.19	1.6922	1.5618	23.687	0.39	0.90	177.50	74.91	48.21	True	edge
12	Aragonite	7.56	3.1025	4	165.74	4.95	2.9616	1.8224	51.203	0.77	1.46	110.02	45.13	85.90	True	edge
13	Aragonite	4.32	2.3453	4	175.13	1.88	2.191	1.7455	43.246	0.75	1.39	90.52	55.83	106.10	True	edge
14	Aragonite	2.7	1.8541	3	182.33	0.87	1.7838	1.8512	0.80905	1.24	2.95	112.72	101.92	70.27	True	edge
15	Aragonite	4.5	2.3937	3	193.80	2.00	2.0375	1.4491	49.265	0.50	1.07	56.00	60.63	75.84	True	edge
16	Aragonite	6.48	2.8724	4	200.33	2.56	2.2554	1.2331	39.768	0.56	0.94	153.17	102.44	82.11	True	edge
17	Aragonite	5.04	2.5332	5	206.32	2.50	2.1655	1.4615	83.564	0.90	1.81	110.59	106.10	65.61	True	edge
18	Aragonite	4.5	2.3937	3	213.08	1.48	2.1163	1.5633	16.635	0.66	1.36	172.02	139.06	137.15	True	edge
19	Aragonite	2.34	1.7261	4	223.85	1.77	1.6779	1.8898	78.69	0.38	0.94	176.71	98.82	80.18	True	edge
20	Aragonite	2.34	1.7261	3	228.92	0.77	1.6643	1.8593	171.72	0.54	0.86	33.70	72.27	63.58	True	edge
21	Aragonite	5.4	2.6221	2	232.07	3.87	2.4775	1.7855	64.746	0.63	2.02	99.35	87.76	69.00	True	edge
22	Aragonite	3.96	2.2454	2	238.41	3.77	2.0437	1.6568	101.05	0.80	1.34	46.05	106.87	83.96	True	edge
23	Aragonite	1.8	1.5139	2	245.50	0.80	1.2526	1.3693	180	0.17	0.36	8.00	100.78	106.28	True	edge
24	Aragonite	5.58	2.6655	2	252.84	1.94	2.9208	2.4016	28.404	0.98	2.49	68.32	71.20	107.95	True	edge
25	Aragonite	2.34	1.7261	3	261.00	0.85	1.5872	1.6912	94.764	0.23	0.32	30.54	105.21	87.88	True	edge
26	Aragonite	15.48	4.4396	5	274.06	5.26	4.1261	1.7275	70.758	1.12	2.17	145.72	84.53	109.12	True	edge
27	Aragonite	24.84	5.6238	7	281.31	12.57	7.5561	3.6105	84.718	1.21	1.94	72.35	98.47	129.21	True	edge
28	Aragonite	8.28	3.2469	4	288.11	3.20	3.0141	1.7235	111.7	1.06	2.51	94.57	84.04	7.79	True	edge
29	Aragonite	5.22	2.578	3	294.76	1.59	2.3296	1.6332	18.462	1.09	2.36	157.20	135.07	98.06	True	edge
30	Aragonite	31.86	6.3691	9	297.70	7.90	7.6382	2.8765	40.832	1.09	2.19	65.01	133.65	47.33	True	edge
31	Aragonite	2.16	1.6584	2	309.67	1.58	1.4659	1.5626	76.255	0.83	1.16	47.61	34.46	18.16	True	edge
32	Aragonite	6.66	2.912	3	312.84	3.49	2.8049	1.8556	69.375	0.57	1.28	76.24	137.56	25.79	True	edge
33	Aragonite	7.2	3.0278	6	317.70	3.72	3.8086	3.1647	46.676	1.47	2.49	23.71	28.92	34.56	True	edge
34	Aragonite	4.14	2.2959	4	324.70	1.91	1.9206	1.3995	51.696	0.42	1.11	94.00	148.47	35.11	True	edge
35	Aragonite	24.48	5.5829	8	326.26	9.91	8.9544	5.1449	55.368	0.79	2.98	53.14	10.07	1.78	True	edge
36	Aragonite	7.74	3.1392	4	339.28	2.88	2.6949	1.4739	147.15	0.65	2.23	150.85	24.91	43.46	True	edge
37	Aragonite	1.8	1.5139	2	343.10	0.70	1.3099	1.4974	169.54	0.40	1.22	12.45	124.16	173.07	True	edge
38	Aragonite	3.24	2.0311	3	347.44	1.39	1.7082	1.4146	177.21	0.64	1.23	119.89	8.07	75.66	True	edge
39	Aragonite	2.52	1.7912	3	351.64	1.36	1.4052	1.2308	18.215	0.22	0.57	19.85	61.71	171.80	True	edge
40	Aragonite	2.88	1.9149	4	356.50	0.88	1.9271	2.0255	180	0.48	0.91	122.12	8.30	73.91	True	edge
41	Aragonite	2.52	1.7912	2	361.57	0.93	1.8538	2.1421	14.872	0.41	0.74	6.59	37.21	30.02	True	edge
42	Aragonite	10.8	3.7082	6	363.78	3.70	3.7664	2.0633	28.231	0.61	1.92	57.47	145.77	31.88	True	edge
43	Aragonite	1.98	1.5878	3	370.91	1.36	1.3364	1.4169	74.929	0.59	0.97	27.15	97.53	25.22	True	edge
44	Aragonite	4.32	2.3453	2	386.17	3.63	2.5237	2.3158	62.807	0.45	1.46	42.45	62.61	16.68	True	edge
45	Aragonite	5.22	2.578	4	390.45	2.41	2.5543	1.9633	52.063	0.66	1.63	137.14	165.48	91.39	True	edge
46	Aragonite	3.96	2.2454	2	395.41	3.41	2.1568	1.8452	103.61	0.70	2.54	36.34	53.17	14.93	True	edge
47	Aragonite	2.52	1.7912	0	414.71	1.14	1.4648	1.3375	176.44	0.61	1.38	158.86	141.90	127.75	True	edge
48	Aragonite	1.44	1.3541	4	102.19	3.75	2.102	2.4098	64.63	0.63	0.76	35.75	73.86	71.79	True	no
49	Aragonite	9.9	3.5504	9	114.45	10.17	4.2602	1.4399	107.34	1.70	3.98	9.80	66.92	82.27	True	no
50	Aragonite	2.43	1.759	5	178.33	4.07	1.7839	1.0285	154.43	0.43	0.83	47.36	64.04	124.25	True	no
51	Aragonite	1.53	1.3957	4	217.47	3.59	1.6755	1.4411	117.94	1.04	2.84	125.08	85.85	77.10	True	no
52	Aragonite	4.59	2.4175	5	265.35	5.45	2.6732	1.2227	102.82	0.81	1.48	145.41	83.30	107.24	True	no
53	Aragonite	1.71	1.4755	4	88.00	5.16	1.9366	1.7225	103.77	0.28	0.61	80.57	102.86	70.41	True	no
54	Aragonite	1.8	1.5139	4	120.80	4.30	1.8692	1.5246	149.02	0.80	1.62	71.38	94.03	68.45	True	no
55	Aragonite	2.52	1.7912	4	152.50	5.25	2.2791	1.619	123.01	0.39	0.75	163.58	55.39	65.09	True	no
56	Aragonite	1.71	1.4755	5	171.47	4.84	2.241	2.3067	113.67	0.42	0.98	171.45	67.17	48.03	True	no
57	Aragonite	1.89	1.5513	2	189.48	5.00	1.9428	1.5685	91.557	0.67	0.96	37.79	74.48	67.56	True	no
58	Aragonite	0.9	1.0705	3	221.20	3.50	1.2526	1.3693	90	0.58	0.76	177.75	96.03	77.15	True	no
59	Aragonite	2.7	1.8541	5	227.43	5.97	2.7556	2.2088	94.961	0.81	1.65	99.52	95.48	62.54	True	no
60	Aragonite	1.8	1.5139	4	244.35	5.35	1.8899	1.5584	81.738	0.53	1.46	4.27	95.49	65.04	True	no
61	Aragonite	8.46	3.282	7	252.44	7.36	3.8921	1.4063	153.33	1.57	3.51	66.57	117.58	83.47	True	no
62	Aragonite	1.35	1.3111	2	378.00	3.80	1.6603	1.6037	146.45	0.54	1.04	117.46	20.29	92.84	True	no
63	Aragonite	1.08	1.1726	3	98.92	4.33	1.3054	1.2393	124.72	0.42	0.61	84.05	91.66	65.55	True	no
64	Aragonite	1.62	1.4362	4	148.67	5.94	2.1413	2.2229	92.031	0.60	2.25	98.15	63.24	72.79	True	no
65	Aragonite	2.97	1.9446	5	183.33	6.70	2.8512	2.1497	92.837	0.56	1.82	0.06	72.17	85.27	True	no
66	Aragonite	2.79	1.8848	5	210.68	6.00	2.3131	1.5062	153.83	0.83	1.56	175.33	99.70	75.60	True	no
67	Aragonite	0.9	1.0705	2	258.20	5.10	1.4327	1.7912	69.379	0.36	0.57	1.90	98.44	58.80	True	no
