Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
1	Aragonite	1.875	1.5451	2	3.80	1.20	1.3207	1.4613	177.55	0.79	1.48	130.25	44.07	60.04	True	edge
2	Aragonite	1.875	1.5451	3	13.07	1.40	1.4299	1.7129	142.76	0.31	0.95	3.99	66.98	120.57	True	edge
3	Aragonite	2.75	1.8712	2	20.73	1.41	1.6075	1.476	169.71	0.43	1.01	75.56	51.98	83.30	True	edge
4	Aragonite	3.75	2.1851	3	26.63	3.07	1.7246	1.2459	173.64	0.85	1.52	15.35	70.56	112.00	True	edge
5	Aragonite	25.5	5.698	8	31.87	10.57	6.1341	2.3179	73.321	2.78	5.27	73.09	58.23	84.73	True	edge
6	Aragonite	1.25	1.2616	3	39.40	1.70	1.3082	2.1506	131.63	0.41	1.07	15.52	70.82	117.29	True	edge
7	Aragonite	3.125	1.9947	2	48.08	3.24	1.8533	1.7265	94.823	0.99	2.39	156.49	110.47	36.80	True	edge
8	Aragonite	22.375	5.3375	9	59.14	9.29	5.6655	2.2534	138.85	1.27	3.17	126.12	66.82	37.38	True	edge
9	Aragonite	5.875	2.735	2	60.45	1.85	2.8365	2.1512	170.57	0.67	2.18	158.49	108.65	35.45	True	edge
10	Aragonite	1.5	1.382	3	67.17	0.83	1.2046	1.5196	178.09	0.33	0.80	154.03	109.45	31.68	True	edge
11	Aragonite	1.625	1.4384	4	71.00	1.77	1.1698	1.3229	147.39	0.52	1.27	129.59	41.02	35.71	True	edge
12	Aragonite	3.5	2.111	4	76.36	1.39	2.1936	2.1596	168.95	0.95	1.85	12.89	35.15	140.27	True	edge
13	Aragonite	1.25	1.2616	3	81.40	1.00	0.9568	1.1504	115.67	0.21	0.69	36.63	17.50	101.91	True	edge
14	Aragonite	8.125	3.2164	5	90.09	2.54	3.3171	2.1272	167.85	1.69	3.80	123.42	51.58	26.29	True	edge
15	Aragonite	1.5	1.382	2	97.00	1.17	1.1565	1.4005	143.13	0.37	0.68	130.46	61.84	25.75	True	edge
16	Aragonite	22.5	5.3524	11	114.11	14.31	6.1035	2.6007	140.65	1.09	3.71	152.28	121.28	24.77	True	edge
17	Aragonite	12.625	4.0093	3	108.62	4.81	3.1011	1.1965	104.7	1.26	3.17	68.56	23.00	73.57	True	edge
18	Aragonite	1.25	1.2616	3	114.80	2.10	1.1939	1.7912	110.62	0.61	0.96	51.25	52.19	88.59	True	edge
19	Aragonite	2.75	1.8712	2	127.50	1.50	1.6802	1.6126	151.08	0.53	2.04	127.67	85.98	53.80	True	edge
20	Aragonite	5.625	2.6762	4	133.40	2.89	2.2323	1.3916	45.421	0.67	1.40	54.43	61.43	82.48	True	edge
21	Aragonite	1.75	1.4927	4	142.36	0.50	2.2235	4.4379	173.3	0.87	1.58	15.86	53.91	95.05	True	edge
22	Aragonite	7	2.9854	3	150.04	3.32	2.2646	1.1508	9.2337	0.96	2.49	83.46	53.11	67.66	True	edge
23	Aragonite	9.75	3.5234	5	158.46	10.65	5.6958	5.2266	107.08	0.89	2.46	101.81	61.26	44.65	True	edge
24	Aragonite	13.625	4.1651	4	163.04	7.87	4.6432	2.4855	99.221	2.06	4.11	39.88	33.07	90.34	True	edge
