Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current_dataset	Border_grain
1	Aragonit	1.9584	1.5791	2	3.76	1.56	1.1762	2.2191	177.05	0.60	1.40	155.39	158.34	162.25	True	corner
2	Aragonit	5.0112	2.526	9	12.86	7.21	2.4983	1.9564	23.13	0.89	2.35	48.28	11.02	140.15	True	edge
3	Aragonit	0.3168	0.63511	1	16.18	0.36	0.861	3.6757	177.66	0.28	0.50	50.68	10.63	73.88	True	edge
4	Aragonit	2.0736	1.6249	2	31.13	2.28	1.6451	2.0501	171.44	1.00	2.59	54.84	8.98	30.63	True	edge
5	Aragonit	1.2384	1.2557	4	44.23	4.95	1.3703	2.3818	97.517	1.01	2.97	80.58	10.60	60.44	True	edge
6	Aragonit	1.5264	1.3941	3	49.38	3.89	1.0057	1.0409	57.243	0.45	1.56	83.38	11.40	174.13	True	edge
7	Aragonit	18.374	4.8368	10	64.82	23.17	5.8436	2.9192	119.13	1.33	4.94	89.25	12.91	75.50	True	edge
8	Aragonit	12.355	3.9662	4	75.87	10.44	3.7451	1.7832	145.97	1.02	2.57	87.97	14.18	65.44	True	edge
9	Aragonit	0.3168	0.63511	2	76.36	1.55	0.72901	2.6351	144.15	0.25	0.57	87.98	14.17	128.64	True	edge
10	Aragonit	1.1232	1.1959	4	82.46	1.90	1.1761	1.9345	160.76	0.48	1.47	88.55	15.31	0.57	True	edge
11	Aragonit	0.3744	0.69044	3	88.38	1.54	0.59724	1.4965	129.27	0.45	1.14	101.12	14.13	54.01	True	edge
12	Aragonit	1.0368	1.149	3	93.44	2.06	0.89344	1.2094	6.4053	0.46	2.09	96.08	14.94	175.43	True	edge
13	Aragonit	11.318	3.7962	14	111.16	12.58	4.5199	2.8353	138.41	1.08	2.33	91.13	11.22	11.24	True	edge
14	Aragonit	3.8592	2.2167	5	119.77	5.72	3.0244	3.7231	149.84	0.90	2.73	175.22	171.91	157.67	True	edge
15	Aragonit	1.5552	1.4072	2	124.63	1.98	1.5697	2.4887	165.96	0.72	1.87	12.16	14.76	16.99	True	edge
16	Aragonit	4.176	2.3059	7	135.87	7.06	1.9103	1.3727	123.73	0.81	1.85	11.02	15.57	81.57	True	edge
17	Aragonit	0.288	0.60555	1	142.50	0.40	0.74925	3.0619	180	0.74	1.44	19.41	14.96	10.73	True	edge
18	Aragonit	1.152	1.2111	3	153.13	2.45	1.6559	3.7388	160.5	0.49	1.74	2.48	7.05	76.93	True	edge
19	Aragonit	0.6048	0.87753	2	157.29	0.57	1.2233	3.8864	0.15626	0.63	1.24	21.88	15.37	135.19	True	edge
20	Aragonit	4.0896	2.2819	7	171.93	3.58	2.6766	2.7517	0.16712	0.81	2.39	158.94	9.38	153.29	True	edge
21	Aragonit	2.736	1.8664	5	191.03	3.12	2.2246	2.8413	164.26	0.72	2.76	156.56	10.61	38.99	True	edge
22	Aragonit	1.008	1.1329	3	201.11	2.51	1.2236	2.3333	146.45	0.65	1.40	138.87	9.98	130.98	True	edge
23	Aragonit	0.9792	1.1166	3	206.65	2.82	1.2072	2.338	137	0.36	1.07	142.59	9.10	116.09	True	edge
24	Aragonit	1.5552	1.4072	4	213.33	2.89	1.2606	1.6051	161.93	0.67	1.30	135.25	9.97	7.29	True	edge
25	Aragonit	10.944	3.7329	9	236.60	13.89	4.5817	3.013	145.28	1.30	2.94	53.09	164.16	135.02	True	edge
26	Aragonit	1.2384	1.2557	2	232.81	1.28	1.8016	4.1169	175.26	0.62	1.22	50.48	167.12	15.02	True	edge
27	Aragonit	3.7152	2.1749	6	249.75	8.36	3.1508	4.1974	130.58	0.58	1.70	38.55	165.73	3.30	True	edge
28	Aragonit	0.72	0.95746	4	252.88	2.80	1.4285	4.452	147.38	0.51	1.13	38.81	167.71	57.26	True	edge
29	Aragonit	0.4608	0.76597	2	254.75	1.31	0.98068	3.2784	152.58	0.27	0.79	36.98	167.79	119.27	True	edge
30	Aragonit	49.709	7.9556	18	280.75	46.32	10.553	3.5191	115.14	1.22	3.25	31.85	172.88	27.10	True	edge
31	Aragonit	0.3744	0.69044	3	264.23	1.54	0.69161	2.0068	123.38	0.42	0.75	29.70	172.56	141.56	True	edge
32	Aragonit	0.432	0.74165	3	267.67	1.53	0.62637	1.4266	148.15	0.53	1.19	60.02	4.20	177.70	True	edge
33	Aragonit	1.6128	1.433	4	274.43	4.14	1.5792	2.4291	140.39	0.60	1.50	57.81	3.81	63.21	True	edge
34	Aragonit	12.643	4.0122	13	299.20	9.70	5.0499	3.1683	158.56	1.42	4.13	57.02	2.33	52.74	True	edge
35	Aragonit	0.8064	1.0133	2	298.68	1.25	1.2422	3.0057	165.25	0.35	0.73	115.84	167.05	66.54	True	edge
36	Aragonit	0.432	0.74165	4	305.80	2.40	0.85129	2.635	149.72	0.35	1.06	117.65	167.69	4.60	True	edge
37	Aragonit	0.4608	0.76597	2	307.88	0.56	1.0417	3.6991	175.82	0.57	1.16	120.56	165.53	82.60	True	edge
38	Aragonit	6.1056	2.7882	8	323.48	5.39	2.9976	2.3118	165.22	0.74	1.69	107.28	166.54	57.01	True	edge
39	Aragonit	1.0944	1.1804	3	333.97	2.18	1.1466	1.8869	150.34	0.59	1.06	113.50	168.88	53.08	True	edge
40	Aragonit	1.9584	1.5791	3	344.62	1.82	2.0103	3.2413	176.98	1.81	2.59	114.86	168.54	65.19	True	edge
41	Aragonit	68.573	9.344	40	398.55	44.86	12.527	3.5945	135.39	1.68	4.47	68.52	168.10	142.23	True	edge
42	Aragonit	4.1472	2.2979	3	383.96	7.18	3.3211	4.1775	149.72	0.61	2.47	61.86	168.22	84.20	True	edge
43	Aragonit	0.4032	0.7165	3	386.07	0.79	1.2025	5.6338	167.42	0.47	0.77	58.48	168.88	28.27	True	edge
44	Aragonit	1.7568	1.4956	4	397.15	5.26	2.0599	3.7941	147.66	0.69	1.84	60.61	167.83	83.03	True	edge
45	Aragonit	0.3456	0.66335	1	394.42	0.83	0.62237	1.7605	162.86	0.42	1.81	58.10	167.58	133.06	True	edge
46	Aragonit	9.8208	3.5361	6	426.00	10.39	5.2501	4.4086	143	0.42	1.23	88.05	160.12	39.99	True	edge
47	Aragonit	2.304	1.7128	3	438.60	4.53	3.2032	6.9953	160.14	0.38	1.22	63.36	150.53	118.10	True	edge
48	Aragonit	2.9088	1.9245	3	448.74	2.56	2.3999	3.1102	170.28	0.58	1.42	60.34	150.11	123.95	True	edge
49	Aragonit	0.6912	0.93812	2	460.25	2.58	1.5104	5.1845	156.04	0.38	1.08	61.34	149.80	112.48	True	edge
50	Aragonit	0.4032	0.7165	2	461.36	0.71	0.91317	3.2486	168	0.40	0.78	61.71	150.32	176.23	True	edge
51	Aragonit	4.2336	2.3217	9	485.17	6.57	5.1148	9.7065	158.94	0.55	1.43	61.42	150.63	164.46	True	edge
52	Aragonit	0.7488	0.97642	3	481.88	1.62	1.6011	5.3777	159.81	0.42	1.18	86.10	147.34	45.40	True	edge
53	Aragonit	0.864	1.0488	3	488.67	1.77	1.6002	4.6552	161.96	0.39	0.98	68.84	147.66	132.84	True	edge
54	Aragonit	4.0032	2.2577	5	505.06	2.45	3.2804	4.2224	173.8	0.46	1.54	91.35	154.78	47.41	True	edge
55	Aragonit	18.144	4.8064	12	566.27	19.66	9.8604	8.4173	153.3	0.57	2.50	67.56	150.06	16.80	True	edge
56	Aragonit	0.3744	0.69044	1	531.54	0.92	0.96797	3.9311	160.47	0.71	2.17	91.67	144.63	38.69	True	edge
57	Aragonit	1.0944	1.1804	3	547.13	1.71	2.3961	8.2403	167.23	0.44	1.02	86.85	154.71	162.93	True	edge
58	Aragonit	3.6576	2.158	5	561.55	6.94	3.1564	4.2785	143.04	0.78	1.91	86.87	154.87	47.13	True	edge
59	Aragonit	4.032	2.2658	5	577.18	9.11	4.1266	6.6341	150.39	0.71	1.66	77.03	139.99	17.43	True	edge
60	Aragonit	48.643	7.8698	11	627.15	20.51	13.71	6.0696	160.57	0.94	2.75	76.03	140.20	80.16	True	edge
61	Aragonit	6.7392	2.9293	4	628.53	9.31	6.684	10.413	160.02	0.46	1.18	76.57	141.70	17.40	True	edge
