V1 V2
SOAP.k35.C976927 GO:0000149,GO:0001669,GO:0001786,GO:0005509,GO:0005544,GO:0005737,GO:0005886,GO:0007340,GO:0014059,GO:0016021,GO:0016079,GO:0016192,GO:0017156,GO:0017158,GO:0019905,GO:0030276,GO:0030424,GO:0030672,GO:0031045,GO:0031982,GO:0048306,GO:0048488,GO:0048791,GO:0070382,GO:0071277
SPADES.k25.NODE_104840_length_1007_cov_44.965377_g63167_i0 GO:0005509,GO:0016459
SPADES.k25.NODE_130612_length_857_cov_15.387019_g82034_i0 GO:0004089,GO:0005737,GO:0005886,GO:0008270
SPADES.k25.NODE_148775_length_777_cov_25.023936_g96127_i0 GO:0003779,GO:0005509,GO:0005515,GO:0005623,GO:0005925,GO:0007016,GO:0030018,GO:0031532,GO:0045214,GO:0051015,GO:0051017
SPADES.k25.NODE_149086_length_776_cov_10.318242_g96368_i0 GO:0004089,GO:0005737,GO:0005886,GO:0008270
SPADES.k25.NODE_166102_length_714_cov_22.473149_g110066_i0 GO:0005509,GO:0005615,GO:0005783,GO:0005788,GO:0005789,GO:0006457,GO:0012505,GO:0030246,GO:0030431,GO:0030968,GO:0042048,GO:0045169,GO:0051082
SPADES.k25.NODE_17425_length_2741_cov_32.002209_g2096_i1 GO:0000149,GO:0001778,GO:0001786,GO:0005509,GO:0005516,GO:0005544,GO:0005546,GO:0005764,GO:0005765,GO:0005777,GO:0005778,GO:0005829,GO:0005886,GO:0006909,GO:0008021,GO:0014059,GO:0016192,GO:0017156,GO:0017158,GO:0019905,GO:0030054,GO:0030276,GO:0030425,GO:0030670,GO:0030672,GO:0031045,GO:0032009,GO:0036465,GO:0042734,GO:0043025,GO:0043679,GO:0045956,GO:0046850,GO:0048791,GO:0050764,GO:0050796,GO:0070092,GO:0070382,GO:0071277,GO:0090119,GO:0090385,GO:0098686,GO:0098978,GO:0098982,GO:0099056,GO:0099502,GO:1900242,GO:1990926,GO:1990927
SPADES.k25.NODE_25433_length_2308_cov_53.976785_g13389_i0 GO:0003756,GO:0005509,GO:0005623,GO:0005783,GO:0005788,GO:0005886,GO:0042470,GO:0045454,GO:0046982
SPADES.k25.NODE_42348_length_1785_cov_34.897727_g21923_i1 GO:0003779,GO:0005509,GO:0005515
SPADES.k25.NODE_82209_length_1192_cov_29.055698_g47780_i0 GO:0000287,GO:0004450,GO:0005739,GO:0006097,GO:0006099,GO:0006102,GO:0006103,GO:0006739,GO:0016616,GO:0051287,GO:0055114
SPADES.k31.NODE_173823_length_602_cov_30.159370_g118864_i0 GO:0005509,GO:0042803
SPADES.k31.NODE_3283_length_4728_cov_23.777305_g1901_i0 GO:0003429,GO:0005201,GO:0005509,GO:0005615,GO:0031012,GO:0062023
SPADES.k31.NODE_36489_length_1786_cov_13.421652_g19210_i1 GO:0004888,GO:0005230,GO:0005262,GO:0005623,GO:0005887,GO:0005892,GO:0006811,GO:0006812,GO:0007165,GO:0007204,GO:0007268,GO:0007605,GO:0016021,GO:0022848,GO:0030054,GO:0034220,GO:0042391,GO:0042472,GO:0043005,GO:0045202,GO:0050877,GO:0050910,GO:0070373,GO:0098981,GO:0099060,GO:1904315
SPADES.k35.NODE_152806_length_611_cov_18.151042_g97812_i0 GO:0005509,GO:0016459
TRINITY_DN257471_c0_g1_i1 GO:0005509,GO:0005515,GO:0019722
TRINITY_DN3841_c0_g1_i1 GO:0000287,GO:0004427,GO:0005634,GO:0005737,GO:0006338,GO:0006351,GO:0006796,GO:0016589,GO:0035076,GO:0035206,GO:0042766
TRINITY_DN3841_c0_g2_i1 GO:0000287,GO:0004427,GO:0005634,GO:0005737,GO:0006338,GO:0006351,GO:0006796,GO:0016589,GO:0035076,GO:0035206,GO:0042766
TransABySS.k25.S1475595 GO:0001523,GO:0002162,GO:0005200,GO:0005509,GO:0005515,GO:0005576,GO:0005604,GO:0005796,GO:0005829,GO:0005886,GO:0006024,GO:0006027,GO:0007165,GO:0007213,GO:0007528,GO:0008045,GO:0009887,GO:0009888,GO:0016021,GO:0016358,GO:0030054,GO:0030198,GO:0030414,GO:0033691,GO:0035374,GO:0043113,GO:0043202,GO:0043236,GO:0043395,GO:0043547,GO:0045162,GO:0045202,GO:0045887,GO:0045944,GO:0050808,GO:0051491,GO:0062023,GO:0070062
