V1	V2
SOAP.k25.C3047413	GO:0004930,GO:0005509,GO:0007186,GO:0016021,GO:0045938,GO:1902848
SOAP.k25.scaffold10974	GO:0002931,GO:0004672,GO:0004686,GO:0005509,GO:0005516,GO:0005524,GO:0005737,GO:0005829,GO:0006414,GO:0008135,GO:0014069,GO:0031952,GO:0032869,GO:0043066,GO:0043197,GO:0045807,GO:0046777,GO:0051965,GO:0061003,GO:0071277,GO:0071320,GO:0071454,GO:1990416,GO:1990637
SOAP.k25.scaffold20013	GO:0000175,GO:0000287,GO:0000724,GO:0000729,GO:0003676,GO:0005634,GO:0005737,GO:0005739,GO:0005741,GO:0005759,GO:0006139,GO:0006302,GO:0008296,GO:0008310,GO:0008408,GO:0008852,GO:0016021,GO:0016444,GO:0030145,GO:0031297,GO:0031966,GO:0042803,GO:0046872,GO:0070131,GO:0090305,GO:0090734
SOAP.k25.scaffold22053	GO:0004620,GO:0004622,GO:0004623,GO:0005509,GO:0005544,GO:0005634,GO:0005737,GO:0005783,GO:0005794,GO:0005811,GO:0005829,GO:0009395,GO:0031410,GO:0042127,GO:0046456,GO:0046475,GO:0047498,GO:0050482,GO:0071236,GO:0102567,GO:0102568
SOAP.k25.scaffold28386	GO:0005509,GO:0005783,GO:0016021,GO:0030867
SOAP.k25.scaffold28471	GO:0001642,GO:0004930,GO:0005509,GO:0005623,GO:0005743,GO:0005886,GO:0005887,GO:0005938,GO:0006851,GO:0006875,GO:0007186,GO:0007193,GO:0007196,GO:0007216,GO:0007268,GO:0007605,GO:0008066,GO:0010855,GO:0014050,GO:0015369,GO:0016021,GO:0016595,GO:0030165,GO:0030424,GO:0030425,GO:0032279,GO:0034214,GO:0043022,GO:0043198,GO:0043235,GO:0045211,GO:0048786,GO:0051260,GO:0051560,GO:0051966,GO:0070905,GO:0099093
SOAP.k31.C1601057	GO:0005509,GO:0008061,GO:0016021,GO:0046872
SOAP.k31.scaffold19865	GO:0001701,GO:0005509,GO:0005623,GO:0005737,GO:0005765,GO:0005768,GO:0005783,GO:0005794,GO:0005798,GO:0005886,GO:0005903,GO:0005905,GO:0006766,GO:0006898,GO:0007584,GO:0008144,GO:0008203,GO:0009617,GO:0010008,GO:0015889,GO:0016020,GO:0016324,GO:0020028,GO:0030135,GO:0030139,GO:0030492,GO:0030666,GO:0031419,GO:0031526,GO:0032991,GO:0038023,GO:0038024,GO:0042366,GO:0042802,GO:0042803,GO:0042953,GO:0043202,GO:0045177,GO:0070062
SOAP.k35.C976927	GO:0000149,GO:0001669,GO:0001786,GO:0005509,GO:0005544,GO:0005737,GO:0005886,GO:0007340,GO:0014059,GO:0016021,GO:0016079,GO:0016192,GO:0017156,GO:0017158,GO:0019905,GO:0030276,GO:0030424,GO:0030672,GO:0031045,GO:0031982,GO:0048306,GO:0048488,GO:0048791,GO:0070382,GO:0071277
SOAP.k35.C984891	GO:0000228,GO:0000287,GO:0001649,GO:0005524,GO:0005634,GO:0005737,GO:0006281,GO:0006310,GO:0007140,GO:0008568,GO:0009378,GO:0010569,GO:0016787,GO:0016887,GO:0031122,GO:0033687,GO:0043066,GO:0046034,GO:0048471,GO:0051726,GO:0070062,GO:0071479,GO:2001243
SOAP.k35.C987431	GO:0001525,GO:0001935,GO:0005509,GO:0005783,GO:0005789,GO:0005886,GO:0006915,GO:0006952,GO:0015252,GO:0016175,GO:0016491,GO:0020037,GO:0034599,GO:0042554,GO:0043012,GO:0043020,GO:0050660,GO:0050661,GO:0050663,GO:0055114,GO:0061640,GO:1902600,GO:2000379
SPADES.k25.NODE_104840_length_1007_cov_44.965377_g63167_i0	GO:0005509,GO:0016459
SPADES.k25.NODE_11284_length_3291_cov_83.573178_g5838_i0	GO:0003964,GO:0005509,GO:0046872
SPADES.k25.NODE_11399_length_3277_cov_55.642066_g5894_i0	GO:0000287,GO:0002189,GO:0004045,GO:0004749,GO:0005524,GO:0005737,GO:0005739,GO:0005829,GO:0005886,GO:0006015,GO:0006164,GO:0009116,GO:0009165,GO:0009506,GO:0016301
